inventory_id,warehouse_id,product_id,batch_number,quantity,reorder_level,unit_cost,last_stocked_date
62,1.0,2240.0,BT451780,284,68,458.6,2026-07-02 14:25:20.909931
63,3.0,961.0,BT380824,346,41,1127.34,2026-06-14 14:25:20.909955
64,1.0,1664.0,BT390032,82,33,1137.06,2025-11-28 14:25:20.909978
65,4.0,2669.0,BT787151,17,80,1012.43,2026-01-04 14:25:20.910006
66,4.0,223.0,BT570630,364,77,883.39,2026-01-17 14:25:20.910031
67,1.0,1350.0,BT267609,121,28,435.37,2026-04-24 14:25:20.910055
68,4.0,2192.0,BT495382,470,62,1326.6,2026-02-26 14:25:20.910078
69,3.0,2096.0,BT909251,308,72,1476.55,2025-07-26 14:25:20.910101
70,3.0,1298.0,BT818122,3,71,1074.99,2025-10-16 14:25:20.910125
71,4.0,2149.0,BT967079,254,52,1390.74,2025-11-29 14:25:20.910149
72,1.0,1916.0,BT608505,442,56,528.28,2025-08-28 14:25:20.910172
73,3.0,1260.0,BT718334,376,30,646.67,2026-07-05 14:25:20.910196
74,1.0,2711.0,BT228785,126,76,908.18,2025-10-20 14:25:20.910219
75,4.0,2751.0,BT528297,360,26,821.83,2025-08-12 14:25:20.910242
76,1.0,2563.0,BT120074,109,77,312.25,2026-03-14 14:25:20.910265
77,2.0,2424.0,BT346994,450,34,956.62,2025-09-28 14:25:20.910292
78,2.0,1959.0,BT726007,51,24,949.14,2025-07-21 14:25:20.910318
79,3.0,890.0,BT924883,157,51,596.02,2026-02-17 14:25:20.910341
80,3.0,1251.0,BT352345,121,79,992.3,2025-09-05 14:25:20.910365
81,2.0,1399.0,BT438390,206,47,1376.15,2025-08-11 14:25:20.910394
82,4.0,2549.0,BT628371,305,55,757.94,2025-10-18 14:25:20.910419
83,4.0,1315.0,BT461471,187,32,818.47,2026-02-09 14:25:20.910442
84,2.0,1279.0,BT476847,83,42,539.7,2026-05-29 14:25:20.910465
85,1.0,21.0,BT475936,70,30,495.52,2026-01-08 14:25:20.910488
86,2.0,816.0,BT572736,15,69,653.18,2025-10-18 14:25:20.910511
87,2.0,446.0,BT405087,432,70,1158.94,2026-01-27 14:25:20.910535
88,2.0,638.0,BT152325,10,70,1003.87,2025-11-03 14:25:20.910558
89,4.0,2767.0,BT425599,341,32,463.18,2025-11-01 14:25:20.910581
90,3.0,528.0,BT535459,388,50,413.75,2025-08-02 14:25:20.910604
91,4.0,2770.0,BT685519,227,20,225.79,2025-11-20 14:25:20.910627
92,2.0,1873.0,BT566860,210,59,855.33,2025-10-10 14:25:20.910650
93,1.0,167.0,BT844435,213,80,665.49,2025-09-23 14:25:20.910673
94,2.0,1541.0,BT785300,465,78,1083.64,2025-11-06 14:25:20.910696
95,4.0,1081.0,BT776262,55,70,890.08,2026-07-09 14:25:20.910720
96,1.0,829.0,BT710664,114,21,81.52,2026-01-31 14:25:20.910744
97,3.0,633.0,BT659739,205,32,1126.12,2025-09-18 14:25:20.910767
98,4.0,871.0,BT132696,340,41,1233.52,2025-12-01 14:25:20.910791
99,4.0,1243.0,BT906298,1,35,974.07,2026-07-09 14:25:20.910814
100,3.0,12.0,BT805367,424,28,153.94,2026-01-08 14:25:20.910837
101,3.0,12.0,BT277528,253,36,596.01,2026-04-19 14:25:20.910860
102,4.0,2938.0,BT598852,291,41,1075.64,2025-10-19 14:25:20.910883
103,1.0,2647.0,BT778397,362,49,486.37,2026-01-15 14:25:20.910906
104,4.0,1575.0,BT253818,322,67,41.96,2026-02-20 14:25:20.910930
105,3.0,2801.0,BT486046,381,34,776.87,2025-12-13 14:25:20.910953
106,2.0,814.0,BT656716,493,79,1434.69,2026-06-16 14:25:20.910976
107,1.0,1866.0,BT320628,270,72,1201.47,2025-08-15 14:25:20.910999
108,3.0,2987.0,BT926632,208,71,383.47,2026-02-12 14:25:20.911023
109,2.0,335.0,BT773159,328,43,1303.06,2025-08-14 14:25:20.911046
110,4.0,2425.0,BT737569,389,29,806.53,2025-08-28 14:25:20.911070
111,4.0,2676.0,BT652592,340,77,999.61,2025-12-31 14:25:20.911093
112,2.0,2735.0,BT886056,447,76,926.54,2026-03-21 14:25:20.911116
113,4.0,2842.0,BT311555,418,54,488.36,2025-12-15 14:25:20.911139
114,4.0,16.0,BT870068,219,75,1238.45,2026-05-28 14:25:20.911162
115,4.0,954.0,BT533703,294,63,1067.06,2026-06-05 14:25:20.911186
116,4.0,2053.0,BT663363,292,68,1234.97,2026-02-06 14:25:20.911209
117,2.0,611.0,BT422983,382,75,698.69,2026-07-07 14:25:20.911237
118,1.0,1906.0,BT870846,475,27,101.51,2025-11-03 14:25:20.911261
119,2.0,1654.0,BT923665,106,37,1461.7,2026-04-02 14:25:20.911284
120,4.0,176.0,BT523028,484,66,892.51,2025-10-11 14:25:20.911307
121,3.0,2797.0,BT842321,88,21,1309.34,2025-08-12 14:25:20.911331
122,2.0,1076.0,BT875312,259,28,1400.62,2026-07-12 14:25:20.911355
123,1.0,2171.0,BT163140,361,31,764.95,2026-02-11 14:25:20.911378
124,3.0,2574.0,BT970713,128,38,191.04,2026-05-13 14:25:20.911408
125,3.0,2839.0,BT472438,426,43,145.41,2026-07-08 14:25:20.911432
126,3.0,2887.0,BT676585,17,76,890.09,2026-07-03 14:25:20.911456
127,1.0,1517.0,BT220775,129,42,1120.37,2026-07-17 14:25:20.911479
128,2.0,1356.0,BT292112,349,49,1249.56,2026-07-04 14:25:20.911502
129,1.0,2614.0,BT191178,84,33,311.66,2025-09-21 14:25:20.911525
130,2.0,534.0,BT307212,212,32,957.42,2025-09-16 14:25:20.911549
131,3.0,1627.0,BT986471,168,38,83.86,2026-02-05 14:25:20.911572
132,3.0,2171.0,BT361545,412,27,1039.78,2026-02-16 14:25:20.911595
133,4.0,194.0,BT755943,34,66,1139.57,2026-05-10 14:25:20.911619
134,4.0,2664.0,BT869660,149,28,850.56,2026-06-11 14:25:20.911642
135,2.0,1561.0,BT295015,493,44,427.39,2026-06-02 14:25:20.911666
136,1.0,2522.0,BT987633,385,28,407.91,2026-07-09 14:25:20.911690
137,4.0,2150.0,BT112679,52,28,418.87,2026-01-27 14:25:20.911713
138,3.0,1211.0,BT185012,489,25,497.25,2026-03-14 14:25:20.911736
139,2.0,1058.0,BT477522,70,62,435.96,2025-07-18 14:25:20.911760
140,1.0,2275.0,BT415853,108,35,10.93,2026-07-13 14:25:20.911783
141,4.0,2551.0,BT160772,252,22,368.21,2025-11-05 14:25:20.911806
142,1.0,1932.0,BT952776,277,66,476.03,2025-10-28 14:25:20.911829
143,1.0,2789.0,BT263197,57,50,546.42,2025-12-14 14:25:20.911853
144,2.0,1277.0,BT945267,438,44,726.45,2026-07-13 14:25:20.911876
145,2.0,2105.0,BT933118,470,28,455.14,2025-10-03 14:25:20.911900
146,3.0,1471.0,BT517919,191,80,298.67,2026-06-09 14:25:20.911923
147,3.0,203.0,BT481626,377,33,1100.81,2026-05-19 14:25:20.911946
148,2.0,2425.0,BT787516,333,79,908.21,2026-03-08 14:25:20.911970
149,2.0,2549.0,BT752516,0,76,1179.28,2026-02-01 14:25:20.911993
150,3.0,2234.0,BT141665,56,29,667.94,2026-04-07 14:25:20.912017
151,3.0,79.0,BT654243,476,75,38.97,2025-08-01 14:25:20.912040
152,4.0,603.0,BT461259,237,74,603.17,2026-04-02 14:25:20.912063
153,4.0,117.0,BT736937,367,75,1280.53,2025-10-21 14:25:20.912086
154,2.0,1925.0,BT130444,187,51,818.88,2025-07-31 14:25:20.912109
155,1.0,2386.0,BT287175,201,51,759.86,2025-10-27 14:25:20.912133
156,3.0,2343.0,BT982300,223,74,1418.31,2026-03-30 14:25:20.912156
157,1.0,2166.0,BT416839,16,77,1113.66,2026-02-09 14:25:20.912180
158,4.0,1627.0,BT892872,13,57,787.05,2025-08-03 14:25:20.912203
159,4.0,2850.0,BT338891,305,50,1065.4,2025-10-13 14:25:20.912226
160,1.0,2385.0,BT664051,294,44,833.93,2025-08-11 14:25:20.912249
161,4.0,188.0,BT789846,484,45,1171.1,2025-11-21 14:25:20.912272
162,2.0,1551.0,BT547684,85,77,651.65,2026-01-09 14:25:20.912296
163,1.0,2305.0,BT122976,261,39,924.71,2025-08-17 14:25:20.912318
164,1.0,1502.0,BT140660,108,21,196.94,2025-08-29 14:25:20.912341
165,2.0,2992.0,BT873019,486,51,417.82,2026-07-05 14:25:20.912364
166,2.0,485.0,BT117336,103,32,1395.47,2026-02-03 14:25:20.912394
167,4.0,1080.0,BT960768,327,20,716.43,2026-03-23 14:25:20.912419
168,4.0,1780.0,BT383093,318,66,175.02,2025-10-13 14:25:20.912443
169,1.0,2088.0,BT237679,349,28,1273.6,2026-06-10 14:25:20.912465
170,2.0,1058.0,BT982458,188,52,54.18,2025-11-15 14:25:20.912488
171,1.0,566.0,BT780593,488,37,155.12,2026-02-13 14:25:20.912512
172,2.0,2571.0,BT674632,448,24,123.76,2026-04-25 14:25:20.912538
173,3.0,1912.0,BT544012,196,46,486.88,2025-09-06 14:25:20.912564
174,1.0,746.0,BT125110,18,56,1350.85,2025-11-07 14:25:20.912589
175,4.0,1764.0,BT710784,30,72,1078.01,2026-05-03 14:25:20.912613
176,1.0,2065.0,BT760324,301,24,191.34,2025-12-23 14:25:20.912637
177,2.0,999.0,BT732218,100,47,25.72,2026-04-28 14:25:20.912661
178,3.0,2796.0,BT346915,389,31,622.05,2025-10-04 14:25:20.912684
179,2.0,2378.0,BT547686,128,27,953.07,2025-10-03 14:25:20.912707
180,1.0,102.0,BT907846,82,52,1055.78,2026-04-19 14:25:20.912731
181,1.0,1981.0,BT352894,408,50,1199.12,2026-02-01 14:25:20.912754
182,4.0,1063.0,BT911380,339,71,607.84,2026-01-12 14:25:20.912777
183,3.0,2653.0,BT174058,63,58,217.57,2025-08-07 14:25:20.912799
184,3.0,984.0,BT992431,375,54,120.32,2025-12-02 14:25:20.912823
185,1.0,727.0,BT643086,463,53,114.48,2025-09-01 14:25:20.912846
186,2.0,1223.0,BT908630,416,70,45.79,2025-12-02 14:25:20.912869
187,3.0,1364.0,BT469208,210,35,1304.45,2025-12-09 14:25:20.912892
188,4.0,1042.0,BT172122,281,38,1161.45,2026-01-12 14:25:20.912915
189,4.0,934.0,BT202850,359,44,505.47,2025-08-09 14:25:20.912938
190,2.0,1946.0,BT117927,260,37,113.99,2025-07-27 14:25:20.912962
191,3.0,468.0,BT998841,420,43,1406.33,2026-06-18 14:25:20.912985
192,2.0,1190.0,BT296720,284,47,10.24,2026-01-05 14:25:20.913009
193,4.0,2310.0,BT755917,136,30,249.17,2026-02-02 14:25:20.913032
194,1.0,1718.0,BT161280,176,73,460.89,2026-07-03 14:25:20.913056
195,2.0,1713.0,BT177106,343,40,924.9,2026-05-12 14:25:20.913079
196,1.0,1557.0,BT978035,221,28,1385.85,2025-08-31 14:25:20.913102
197,4.0,2173.0,BT986295,171,71,489.53,2025-11-22 14:25:20.913126
198,3.0,2218.0,BT976558,116,64,713.76,2025-08-14 14:25:20.913150
199,3.0,2445.0,BT935430,317,62,548.3,2026-03-05 14:25:20.913174
200,4.0,1427.0,BT803968,314,34,460.91,2026-02-17 14:25:20.913197
201,3.0,277.0,BT675275,393,26,691.66,2026-02-19 14:25:20.913220
202,4.0,294.0,BT808802,421,59,1050.99,2025-09-01 14:25:20.913244
203,3.0,299.0,BT991718,493,32,1499.95,2026-04-16 14:25:20.913268
204,1.0,2617.0,BT857975,316,51,674.33,2026-05-22 14:25:20.913291
205,3.0,323.0,BT142946,179,41,257.42,2025-12-10 14:25:20.913314
206,4.0,2297.0,BT926712,256,51,855.9,2025-10-16 14:25:20.913337
207,1.0,1950.0,BT441218,140,35,1180.76,2026-05-11 14:25:20.913361
208,1.0,2334.0,BT724946,359,24,1187.64,2026-02-05 14:25:20.913390
209,3.0,1702.0,BT321174,321,73,398.96,2026-06-20 14:25:20.913416
210,2.0,1601.0,BT810206,2,80,1399.65,2025-10-11 14:25:20.913439
211,1.0,2886.0,BT278855,159,69,827.66,2026-07-01 14:25:20.913462
212,4.0,1013.0,BT413414,25,57,320.54,2026-07-11 14:25:20.913485
213,1.0,2495.0,BT653654,336,57,528.89,2026-03-19 14:25:20.913509
214,2.0,2485.0,BT361200,425,24,904.57,2025-11-05 14:25:20.913532
215,3.0,1242.0,BT475790,208,67,240.89,2025-09-15 14:25:20.913555
216,1.0,417.0,BT760745,314,67,178.6,2026-02-27 14:25:20.913579
217,4.0,833.0,BT874611,345,70,1144.78,2026-04-19 14:25:20.913601
218,3.0,2919.0,BT250160,444,62,700.42,2026-05-17 14:25:20.913624
219,2.0,864.0,BT703093,61,38,410.84,2026-05-30 14:25:20.913647
220,3.0,1931.0,BT939632,4,51,17.33,2026-05-11 14:25:20.913670
221,2.0,1798.0,BT765091,188,67,350.2,2026-07-18 14:25:20.913692
222,1.0,915.0,BT413865,275,62,258.18,2025-10-10 14:25:20.913716
223,3.0,1154.0,BT870387,272,62,173.65,2026-04-23 14:25:20.913740
224,3.0,728.0,BT859021,191,33,171.64,2026-01-12 14:25:20.913763
225,1.0,148.0,BT663427,92,73,774.13,2025-10-23 14:25:20.913786
226,1.0,1444.0,BT626312,315,71,736.0,2026-01-31 14:25:20.913810
227,1.0,1530.0,BT918989,270,44,968.08,2025-12-24 14:25:20.913833
228,4.0,68.0,BT526688,253,27,1033.91,2026-05-06 14:25:20.913856
229,4.0,1448.0,BT286532,49,76,762.94,2026-05-11 14:25:20.913880
230,4.0,2408.0,BT570071,204,65,816.31,2026-01-18 14:25:20.913903
231,3.0,2861.0,BT827524,492,64,1085.03,2026-05-12 14:25:20.913925
232,4.0,48.0,BT201235,23,46,273.7,2025-12-31 14:25:20.913948
233,3.0,549.0,BT161352,190,43,1154.71,2026-05-03 14:25:20.913971
234,3.0,2158.0,BT178422,12,47,865.81,2025-09-12 14:25:20.913994
235,3.0,1052.0,BT401999,273,25,231.93,2026-01-19 14:25:20.914018
236,4.0,651.0,BT361585,354,79,979.12,2026-06-16 14:25:20.914041
237,2.0,124.0,BT986962,141,61,901.16,2025-09-19 14:25:20.914064
238,2.0,1885.0,BT888871,334,34,680.44,2025-09-22 14:25:20.914087
239,3.0,890.0,BT524739,139,43,781.76,2026-02-08 14:25:20.914110
240,1.0,2571.0,BT626706,342,79,133.28,2025-08-08 14:25:20.914133
241,3.0,2744.0,BT100410,346,40,802.03,2025-10-26 14:25:20.914157
242,1.0,2607.0,BT955329,334,30,920.35,2026-01-08 14:25:20.914181
243,2.0,1690.0,BT330852,431,39,44.18,2025-07-29 14:25:20.914205
244,3.0,2446.0,BT159032,106,37,966.32,2025-11-24 14:25:20.914228
245,1.0,1831.0,BT454788,234,58,273.66,2026-05-11 14:25:20.914285
246,4.0,1978.0,BT158506,194,71,1011.53,2025-12-03 14:25:20.914310
247,2.0,657.0,BT509340,325,80,1222.01,2026-07-02 14:25:20.914333
248,4.0,2535.0,BT693946,368,49,1419.7,2026-05-15 14:25:20.914357
249,1.0,46.0,BT911635,184,79,490.66,2025-08-04 14:25:20.914380
250,2.0,1908.0,BT635107,262,39,305.63,2026-05-22 14:25:20.914413
251,4.0,1785.0,BT109468,-15,26,864.21,2025-10-24 14:25:20.914437
252,2.0,296.0,BT297249,-2,61,1027.17,2026-02-09 14:25:20.914461
253,2.0,2050.0,BT383175,495,74,1170.45,2025-11-04 14:25:20.914485
254,1.0,2287.0,BT599967,127,53,583.09,2026-05-20 14:25:20.914508
255,4.0,1120.0,BT763902,43,30,519.51,2026-02-15 14:25:20.914531
256,1.0,2092.0,BT491856,275,53,1367.99,2025-10-04 14:25:20.914554
257,3.0,1811.0,BT393127,180,42,1048.03,2025-08-29 14:25:20.914579
258,4.0,2457.0,BT205351,106,25,1255.19,2026-03-27 14:25:20.914604
259,1.0,2331.0,BT652459,393,24,497.94,2025-09-15 14:25:20.914628
260,3.0,662.0,BT206785,295,69,559.1,2026-01-07 14:25:20.914652
261,1.0,2450.0,BT739843,331,63,1259.49,2026-05-10 14:25:20.914676
262,2.0,867.0,BT783148,253,48,1104.59,2026-01-14 14:25:20.914700
263,4.0,1253.0,BT736997,28,72,349.77,2026-02-03 14:25:20.914724
264,1.0,1370.0,BT726319,190,74,880.36,2025-11-24 14:25:20.914748
265,2.0,1448.0,BT136644,347,76,1146.1,2025-08-16 14:25:20.914771
266,4.0,1198.0,BT464659,277,71,1423.67,2025-08-03 14:25:20.914795
267,1.0,2330.0,BT657060,210,25,1464.29,2025-12-10 14:25:20.914820
268,2.0,1400.0,BT948936,242,80,1474.49,2025-10-28 14:25:20.914843
269,1.0,826.0,BT523343,126,62,268.66,2026-04-27 14:25:20.914868
270,2.0,511.0,BT219677,103,25,1358.14,2026-07-10 14:25:20.914892
271,1.0,1182.0,BT213494,140,30,1343.76,2026-07-06 14:25:20.914915
272,1.0,2917.0,BT643352,417,65,301.95,2025-12-31 14:25:20.914939
273,2.0,2236.0,BT891494,78,40,389.85,2026-03-23 14:25:20.914962
274,1.0,456.0,BT669540,27,72,755.25,2025-08-30 14:25:20.914985
275,1.0,300.0,BT952679,146,44,71.24,2026-02-02 14:25:20.915012
276,1.0,414.0,BT478924,113,31,1486.16,2026-05-04 14:25:20.915036
277,3.0,1625.0,BT260350,143,36,368.42,2026-05-21 14:25:20.915058
278,2.0,2641.0,BT142893,299,49,326.09,2026-06-30 14:25:20.915082
279,1.0,2961.0,BT302031,329,37,841.46,2026-02-13 14:25:20.915105
280,4.0,1706.0,BT558090,368,29,270.92,2026-04-07 14:25:20.915128
281,2.0,723.0,BT365635,453,58,1002.2,2025-08-20 14:25:20.915151
282,3.0,2100.0,BT714158,290,58,616.49,2026-01-15 14:25:20.915175
283,1.0,1385.0,BT739023,202,43,1339.2,2026-06-29 14:25:20.915198
284,3.0,1730.0,BT843684,219,44,494.14,2026-02-26 14:25:20.915223
285,1.0,2603.0,BT188224,307,67,1088.88,2025-12-01 14:25:20.915246
286,4.0,2908.0,BT165468,82,66,1376.9,2026-03-30 14:25:20.915269
287,2.0,2008.0,BT710798,476,22,1089.34,2026-07-01 14:25:20.915293
288,3.0,301.0,BT799527,165,56,808.42,2026-01-18 14:25:20.915316
289,1.0,295.0,BT653572,169,23,1370.79,2025-08-26 14:25:20.915339
290,2.0,1180.0,BT649334,395,25,795.01,2026-04-05 14:25:20.915363
291,1.0,143.0,BT338815,133,23,750.0,2026-05-21 14:25:20.915394
292,4.0,1926.0,BT191445,330,74,1155.42,2026-06-18 14:25:20.915420
293,4.0,1839.0,BT178816,225,58,1161.16,2026-03-31 14:25:20.915444
294,1.0,2222.0,BT726959,78,40,501.37,2025-11-25 14:25:20.915467
295,1.0,945.0,BT616583,397,22,1044.47,2025-12-27 14:25:20.915490
296,1.0,706.0,BT581404,450,43,395.52,2025-08-07 14:25:20.915513
297,3.0,2794.0,BT500061,465,32,1460.09,2025-11-16 14:25:20.915536
298,3.0,1324.0,BT920227,210,70,1452.07,2025-11-14 14:25:20.915560
299,2.0,662.0,BT661348,35,71,172.75,2025-12-02 14:25:20.915583
300,1.0,2835.0,BT583300,456,51,1386.28,2026-03-27 14:25:20.915606
301,2.0,2207.0,BT715227,360,26,1214.93,2026-01-05 14:25:20.915630
302,1.0,481.0,BT642474,315,56,174.27,2025-10-10 14:25:20.915653
303,3.0,401.0,BT508480,102,23,852.12,2025-09-11 14:25:20.915677
304,3.0,2098.0,BT856767,285,48,1300.62,2025-09-25 14:25:20.915701
305,4.0,2867.0,BT952769,179,23,69.77,2025-11-17 14:25:20.915726
306,3.0,1107.0,BT959008,418,45,1430.34,2025-12-14 14:25:20.915750
307,1.0,2977.0,BT433334,266,21,1341.33,2026-03-03 14:25:20.915773
308,1.0,289.0,BT529871,257,20,477.83,2026-06-16 14:25:20.915797
309,3.0,646.0,BT359281,462,69,685.27,2026-06-06 14:25:20.915821
310,4.0,555.0,BT127574,422,25,946.63,2025-12-18 14:25:20.915845
311,1.0,216.0,BT892577,201,27,67.1,2026-01-20 14:25:20.915869
312,3.0,902.0,BT708711,295,38,1364.34,2025-12-28 14:25:20.915892
313,4.0,1673.0,BT751585,337,49,160.35,2026-02-28 14:25:20.915916
314,3.0,432.0,BT794891,173,70,1092.5,2025-10-16 14:25:20.915939
315,3.0,1518.0,BT341232,360,44,746.57,2026-06-06 14:25:20.915963
316,4.0,2814.0,BT756847,196,53,12.14,2025-10-01 14:25:20.915987
317,4.0,501.0,BT734414,27,27,603.14,2026-06-12 14:25:20.916011
318,3.0,834.0,BT738983,160,37,1151.71,2026-01-17 14:25:20.916036
319,1.0,2422.0,BT313741,17,28,1084.17,2025-07-31 14:25:20.916059
320,1.0,1498.0,BT278138,476,50,763.75,2025-11-30 14:25:20.916083
321,3.0,821.0,BT940126,331,76,1120.12,2026-07-17 14:25:20.916107
322,4.0,1394.0,BT970367,427,50,275.27,2026-07-05 14:25:20.916130
323,2.0,2040.0,BT517665,128,55,314.44,2025-07-26 14:25:20.916154
324,1.0,2535.0,BT822902,427,56,779.82,2025-10-07 14:25:20.916178
325,4.0,2288.0,BT463054,73,35,1047.9,2025-10-03 14:25:20.916202
326,2.0,1745.0,BT551112,221,43,973.39,2026-05-16 14:25:20.916229
327,3.0,625.0,BT384258,291,77,382.28,2026-01-06 14:25:20.916254
328,2.0,2393.0,BT969924,153,25,1496.16,2025-12-30 14:25:20.916279
329,3.0,594.0,BT320288,437,33,1424.37,2025-09-04 14:25:20.916304
330,4.0,1569.0,BT908884,221,26,800.37,2025-08-25 14:25:20.916328
331,1.0,2918.0,BT986051,299,41,247.27,2026-04-04 14:25:20.916354
332,3.0,1320.0,BT706623,444,48,335.71,2025-10-10 14:25:20.916379
333,1.0,589.0,BT972336,19,41,1258.55,2025-12-02 14:25:20.916413
334,2.0,1178.0,BT980722,407,66,829.7,2026-04-29 14:25:20.916439
335,1.0,928.0,BT324874,402,21,652.79,2026-04-08 14:25:20.916463
336,4.0,2736.0,BT234681,462,70,1384.39,2026-05-10 14:25:20.916486
337,1.0,1265.0,BT374011,265,80,203.69,2025-09-30 14:25:20.916510
338,3.0,697.0,BT757936,495,39,974.52,2026-03-17 14:25:20.916535
339,3.0,2523.0,BT363744,365,33,445.66,2026-02-23 14:25:20.916560
340,1.0,1834.0,BT757997,450,46,962.83,2025-11-15 14:25:20.916583
341,2.0,787.0,BT364873,425,53,1336.88,2025-09-06 14:25:20.916608
342,4.0,1680.0,BT963718,353,28,296.47,2026-02-03 14:25:20.916634
343,3.0,728.0,BT750606,396,56,549.76,2025-08-23 14:25:20.916661
344,1.0,1141.0,BT342518,88,62,1262.33,2025-11-09 14:25:20.916685
345,1.0,2069.0,BT369618,362,72,794.91,2026-07-06 14:25:20.916711
346,4.0,2124.0,BT395759,376,59,490.72,2025-09-07 14:25:20.916736
347,4.0,621.0,BT448430,306,45,680.54,2025-11-07 14:25:20.916760
