supplier_id,supplier_code,supplier_name,city,phone,email,gst_number,status
86,SUP0086,Supplier 86,Delhi,9824541344,supplier86@gmail.com,19ABCDE0086F1Z5,Inactive
87,SUP0087,Supplier 87,Bengaluru,9294928750,supplier87@gmail.com,19ABCDE0087F1Z5,Inactive
88,SUP0088,Supplier 88,Guwahati,9952722597,supplier88@gmail.com,19ABCDE0088F1Z5,Inactive
89,SUP0089,Supplier 89,Pune,9681039737,supplier89@gmail.com,19ABCDE0089F1Z5,Active
90,SUP0090,Supplier 90,Mumbai,9707487421,supplier90@gmail.com,19ABCDE0090F1Z5,Inactive
91,SUP0091,Supplier 91,Hyderabad,9886883046,supplier91@gmail.com,,Inactive
92,SUP0092,Supplier 92,Delhi,9720022915,supplier92@gmail.com,19ABCDE0092F1Z5,Inactive
93,SUP0093,Supplier 93,Kolkata,9709214209,supplier93@gmail.com,19ABCDE0093F1Z5,Inactive
94,SUP0094,Supplier 94,Kolkata,9920497555,supplier94@gmail.com,19ABCDE0094F1Z5,Active
95,SUP0095,Supplier 95,Pune,9604850175,supplier95@gmail.com,19ABCDE0095F1Z5,Inactive
96,SUP0096,Supplier 96,Delhi,9337249352,supplier96@gmail.com,19ABCDE0096F1Z5,Inactive
97,SUP0097,Supplier 97,Delhi,9156252906,supplier97@gmail.com,19ABCDE0097F1Z5,Active
98,SUP0098,Supplier 98,Guwahati,9848047891,supplier98@gmail.com,19ABCDE0098F1Z5,Inactive
99,SUP0099,Supplier 99,Pune,9628102737,supplier99@gmail.com,19ABCDE0099F1Z5,Inactive
100,SUP0100,Supplier 100,Delhi,9946792061,supplier100@gmail.com,19ABCDE0100F1Z5,Inactive
101,SUP0101,Supplier 101,Mumbai,ABC12345,supplier101@gmail.com,19ABCDE0101F1Z5,Inactive
102,SUP0102,Supplier 102,Pune,9767838601,supplier102@gmail.com,19ABCDE0102F1Z5,Active
103,SUP0103,Supplier 103,Hyderabad,9252820822,supplier103@gmail.com,19ABCDE0103F1Z5,Inactive
104,SUP0104,Supplier 104,Delhi,9450707135,supplier104@gmail.com,19ABCDE0104F1Z5,Inactive
105,SUP0105,Supplier 105,Mumbai,9542871534,supplier105@gmail.com,19ABCDE0105F1Z5,Inactive
106,SUP0106,Supplier 106,Kolkata,9312262403,supplier106@gmail.com,19ABCDE0106F1Z5,Active
107,SUP0107,Supplier 107,Chennai,9695963496,supplier107@gmail.com,19ABCDE0107F1Z5,Active
108,SUP0108,Supplier 108,Bengaluru,9221987045,supplier108@gmail.com,19ABCDE0108F1Z5,Active
109,SUP0109,Supplier 109,Hyderabad,9587532277,supplier109@gmail.com,19ABCDE0109F1Z5,Active
110,SUP0110,Supplier 110,Kolkata,9813715895,supplier110@gmail.com,19ABCDE0110F1Z5,Active
111,SUP0111,Supplier 111,Bengaluru,98765,supplier111@gmail.com,19ABCDE0111F1Z5,Inactive
112,SUP0112,Supplier 112,Delhi,9305410704,supplier112@gmail.com,19ABCDE0112F1Z5,Inactive
113,SUP0113,Supplier 113,Bengaluru,9544554283,supplier113@gmail.com,19ABCDE0113F1Z5,Inactive
114,SUP0114,Supplier 114,Chennai,9572915790,supplier114@gmail.com,19ABCDE0114F1Z5,Inactive
115,SUP0115,Supplier 115,Guwahati,9685139904,supplier115@gmail.com,19ABCDE0115F1Z5,Active
116,SUP0116,Supplier 116,Guwahati,9411103031,supplier116@gmail.com,19ABCDE0116F1Z5,Inactive
117,SUP0117,Supplier 117,Pune,9331815204,supplier117@gmail.com,19ABCDE0117F1Z5,Inactive
118,SUP0118,Supplier 118,Hyderabad,9122306322,supplier118@gmail.com,19ABCDE0118F1Z5,Active
119,SUP0119,Supplier 119,Guwahati,9214591727,supplier119@gmail.com,19ABCDE0119F1Z5,Inactive
120,SUP0120,Supplier 120,Kolkata,9686004386,supplier120@gmail.com,19ABCDE0120F1Z5,Active
121,SUP0121,Supplier 121,Bangalore,9353327778,supplier121@gmail.com,19ABCDE0121F1Z5,Active
122,SUP0122,Supplier 122,Bengaluru,9577553662,supplier122@gmail.com,19ABCDE0122F1Z5,Active
123,SUP0123,Supplier 123,Hyderabad,9847509740,supplier123@gmail.com,19ABCDE0123F1Z5,Inactive
124,SUP0124,Supplier 124,Kolkata,9359163408,supplier124@gmail.com,19ABCDE0124F1Z5,Active
125,SUP0125,Supplier 125,Hyderabad,9102588982,supplier125@gmail.com,19ABCDE0125F1Z5,Inactive
126,SUP0126,Supplier 126,Pune,9329096932,supplier126@gmail.com,19ABCDE0126F1Z5,Active
127,SUP0127,Supplier 127,Chennai,9851244578,supplier127@gmail.com,19ABCDE0127F1Z5,Inactive
128,SUP0128,Supplier 128,Bengaluru,9783516390,supplier128@gmail.com,19ABCDE0128F1Z5,Inactive
129,SUP0129,Supplier 129,Hyderabad,9520179473,supplier129@gmail.com,19ABCDE0129F1Z5,Inactive
130,SUP0130,Supplier 130,Guwahati,9427253253,supplier130@gmail.com,19ABCDE0130F1Z5,Inactive
131,SUP0131,Supplier 131,kolkata,9258425322,supplier131@gmail.com,19ABCDE0131F1Z5,Active
132,SUP0132,Supplier 132,KOLKATA,9287058502,supplier132@gmail.com,19ABCDE0132F1Z5,Active
133,SUP0133,Supplier 133,Bengaluru,9122045090,supplier133@gmail.com,19ABCDE0133F1Z5,Inactive
134,SUP0134,Supplier 134,Guwahati,9562425344,supplier134@gmail.com,19ABCDE0134F1Z5,Inactive
135,SUP0135,Supplier 135,Guwahati,9100593439,supplier135@gmail.com,19ABCDE0135F1Z5,Active
136,SUP0136,Supplier 136,Bengaluru,9309917172,supplier136@gmail.com,19ABCDE0136F1Z5,Active
137,SUP0137,Supplier 137,Chennai,9422463161,supplier137@gmail.com,19ABCDE0137F1Z5,Active
138,SUP0138,Supplier 138,Bengaluru,9502202862,supplier138@gmail.com,19ABCDE0138F1Z5,Inactive
139,SUP0139,Supplier 139,Chennai,9969608252,supplier139@gmail.com,19ABCDE0139F1Z5,Active
140,SUP0140,Supplier 140,Pune,9178527514,supplier140@gmail.com,19ABCDE0140F1Z5,Inactive
141,SUP0141,Supplier 141,Pune,9935193529,supplier141@gmail.com,19ABCDE0141F1Z5,Active
142,SUP0142,Supplier 142,Bengaluru,9992648677,supplier142@gmail.com,19ABCDE0142F1Z5,Active
143,SUP0143,Supplier 143,Kolkata,9280668416,supplier143@gmail.com,19ABCDE0143F1Z5,Active
144,SUP0144,Supplier 144,Mumbai,9503714760,supplier144@gmail.com,19ABCDE0144F1Z5,Inactive
145,SUP0145,Supplier 145,Pune,9444943491,supplier145@gmail.com,19ABCDE0145F1Z5,Active
146,SUP0146,Supplier 146,Delhi,9269222579,supplier146@gmail.com,19ABCDE0146F1Z5,Active
147,SUP0147,Supplier 147,Delhi,9550442885,supplier147@gmail.com,19ABCDE0147F1Z5,Active
148,SUP0148,Supplier 148,Bengaluru,9934154375,supplier148@gmail.com,19ABCDE0148F1Z5,Inactive
149,SUP0149,Supplier 149,Bengaluru,9864376529,supplier149@gmail.com,19ABCDE0149F1Z5,Inactive
150,SUP0150,Supplier 150,Pune,9929070939,supplier150@gmail.com,19ABCDE0150F1Z5,Active
151,SUP0151,,Guwahati,9705773306,supplier151@gmail.com,19ABCDE0151F1Z5,Active
152,SUP0152,Supplier 152,Guwahati,9493498535,supplier152@gmail.com,19ABCDE0152F1Z5,Active
153,SUP0153,Supplier 153,Hyderabad,9887716381,supplier153@gmail.com,19ABCDE0153F1Z5,Active
154,SUP0154,Supplier 154,Pune,9862026817,supplier154@gmail.com,19ABCDE0154F1Z5,Active
155,SUP0155,Supplier 155,Bengaluru,9976014297,supplier155@gmail.com,19ABCDE0155F1Z5,Inactive
156,SUP0156,Supplier 156,Kolkata,9981773401,supplier156@gmail.com,19ABCDE0156F1Z5,Active
157,SUP0157,Supplier 157,Chennai,9703885679,supplier157@gmail.com,19ABCDE0157F1Z5,Active
158,SUP0158,Supplier 158,Delhi,9702724704,supplier158@gmail.com,19ABCDE0158F1Z5,Active
159,SUP0159,Supplier 159,Kolkata,9759003855,supplier159@gmail.com,19ABCDE0159F1Z5,Active
160,SUP0160,Supplier 160,Mumbai,9710605231,supplier160@gmail.com,19ABCDE0160F1Z5,Active
161,SUP0161,Supplier 161,Pune,9470319220,supplier161@gmail.com,19ABCDE0161F1Z5,Active
162,SUP0162,Supplier 162,Delhi,9728719890,supplier162@gmail.com,19ABCDE0162F1Z5,Active
163,SUP0163,Supplier 163,Chennai,9594607518,supplier163@gmail.com,19ABCDE0163F1Z5,Active
164,SUP0164,Supplier 164,Kolkata,9561626424,supplier164@gmail.com,19ABCDE0164F1Z5,Inactive
165,SUP0165,Supplier 165,Delhi,9277957506,supplier165@gmail.com,19ABCDE0165F1Z5,Inactive
166,SUP0166,Supplier 166,Pune,9174043121,supplier166@gmail.com,19ABCDE0166F1Z5,Inactive
167,SUP0167,Supplier 167,Guwahati,9330842686,supplier167@gmail.com,19ABCDE0167F1Z5,Inactive
168,SUP0168,Supplier 168,Mumbai,9745235295,supplier168@gmail.com,19ABCDE0168F1Z5,Active
169,SUP0169,Supplier 169,Delhi,9554495401,supplier169@gmail.com,19ABCDE0169F1Z5,Inactive
170,SUP0170,Supplier 170,Kolkata,9194519374,supplier170@gmail.com,19ABCDE0170F1Z5,Active
171,SUP0171,Supplier 171,Kolkata,9842066846,supplier171@gmail.com,19ABCDE0171F1Z5,Active
172,SUP0172,Supplier 172,Chennai,9164409900,supplier172@gmail.com,19ABCDE0172F1Z5,Inactive
173,SUP0173,Supplier 173,Chennai,9617704691,supplier173@gmail.com,19ABCDE0173F1Z5,Inactive
174,SUP0174,Supplier 174,Pune,9904427577,supplier174@gmail.com,19ABCDE0174F1Z5,Active
175,SUP0175,Supplier 175,Mumbai,9991673387,supplier175@gmail.com,19ABCDE0175F1Z5,Active
176,SUP0176,Supplier 176,Delhi,9736286869,supplier176@gmail.com,19ABCDE0176F1Z5,Inactive
177,SUP0177,Supplier 177,Kolkata,9813650516,supplier177@gmail.com,19ABCDE0177F1Z5,Active
178,SUP0178,Supplier 178,Bengaluru,9266674086,supplier178@gmail.com,19ABCDE0178F1Z5,Active
179,SUP0179,Supplier 179,Delhi,9313583096,supplier179@gmail.com,19ABCDE0179F1Z5,Inactive
180,SUP0180,Supplier 180,Pune,9989214421,supplier180@gmail.com,19ABCDE0180F1Z5,Active
181,SUP0181,Supplier 181,Hyderabad,9719441840,supplier181@gmail.com,19ABCDE0181F1Z5,Inactive
182,SUP0182,Supplier 182,Pune,9541219262,supplier182@gmail.com,19ABCDE0182F1Z5,Active
183,SUP0183,Supplier 183,Delhi,9233223270,supplier183@gmail.com,19ABCDE0183F1Z5,Inactive
184,SUP0184,Supplier 184,Delhi,9206374055,supplier184@gmail.com,19ABCDE0184F1Z5,Active
185,SUP0185,Supplier 185,Pune,9953609519,supplier185@gmail.com,19ABCDE0185F1Z5,Inactive
186,SUP0186,Supplier 186,Delhi,9516899025,supplier186@gmail.com,19ABCDE0186F1Z5,Active
187,SUP0187,Supplier 187,Mumbai,9433749973,supplier187@gmail.com,19ABCDE0187F1Z5,Inactive
188,SUP0188,Supplier 188,Mumbai,9698011057,supplier188@gmail.com,19ABCDE0188F1Z5,Active
189,SUP0189,Supplier 189,Hyderabad,9249938475,supplier189@gmail.com,19ABCDE0189F1Z5,Inactive
190,SUP0190,Supplier 190,Guwahati,9912556528,supplier190@gmail.com,19ABCDE0190F1Z5,Inactive
191,SUP0191,Supplier 191,Delhi,9193893028,supplier191@gmail.com,19ABCDE0191F1Z5,Inactive
192,SUP0192,Supplier 192,Guwahati,9409915871,supplier192@gmail.com,19ABCDE0192F1Z5,Inactive
193,SUP0193,Supplier 193,Hyderabad,9980363787,supplier193@gmail.com,19ABCDE0193F1Z5,Inactive
194,SUP0194,Supplier 194,Delhi,9220175648,supplier194@gmail.com,19ABCDE0194F1Z5,Active
195,SUP0195,Supplier 195,Bengaluru,9272680264,supplier195@gmail.com,19ABCDE0195F1Z5,Inactive
196,SUP0196,Supplier 196,Chennai,9425600289,supplier196@gmail.com,19ABCDE0196F1Z5,Inactive
197,SUP0197,Supplier 197,Pune,9640064138,supplier197@gmail.com,19ABCDE0197F1Z5,Inactive
198,SUP0198,Supplier 198,Guwahati,9228393006,supplier198@gmail.com,19ABCDE0198F1Z5,Inactive
199,SUP0199,Supplier 199,Bengaluru,9294103528,supplier199@gmail.com,19ABCDE0199F1Z5,Inactive
200,SUP0200,Supplier 200,Chennai,9485144491,supplier200@gmail.com,19ABCDE0200F1Z5,Inactive
